Height,Weight,Age,Gender,Muscule,Movement,TimeStamp,signal
189,70,20,1,17,0,2023-05-03T23:06:08.4169715+03:00,"[29, 47, 32, 47, 50, 38, 38, 38, 38, 32, 32, 38, 32, 32, 32, 38, 32, 38, 41, 29, 38, 35, 38, 26, 29, 41, 38, 38, 35, 32, 29, 41, 32, 47, 56, 50, 74, 74, 83, 62, 68, 62, 59, 47, 83, 53, 74, 53, 71, 56, 59, 71, 41, 65, 53, 41, 53, 68, 53, 56, 56, 62, 35, 50, 47, 44, 59, 56, 62, 53, 74, 77, 53, 65, 53, 59, 47, 53, 50, 65, 53, 50, 53, 53, 59, 50, 47]"
189,70,20,1,17,0,2023-05-03T23:06:16.5162054+03:00,"[29, 38, 38, 47, 38, 29, 41, 35, 44, 35, 35, 35, 35, 32, 38, 32, 41, 50, 32, 44, 53, 95, 32, 32, 35, 47, 32, 41, 29, 29, 41, 38, 32, 50, 26, 38, 35, 44, 38, 44, 50, 53, 62, 83, 98, 92, 74, 71, 50, 83, 77, 56, 95, 74, 77, 80, 74, 74, 83, 71, 77, 80, 62, 86, 77, 77, 80, 74, 83, 80, 74, 89, 83, 74, 89, 62, 71, 71, 74, 80, 101, 77, 68, 77, 83, 92, 74, 80, 89, 74, 74, 80, 80, 74]"
189,70,20,1,28,0,2023-05-03T23:08:15.6823442+03:00,"[59, 56, 53, 41, 59, 56, 47, 56, 59, 53, 77, 65, 53, 44, 44, 47, 47, 47, 59, 59, 62, 47, 56, 50, 92, 92, 77, 59, 68, 74, 59, 68, 80, 47, 71, 62, 77, 62, 50, 47, 98, 119, 83, 110, 113, 134, 86, 101, 149, 149, 77, 137, 68, 101, 113, 86, 74, 62, 119, 77, 86, 80, 77, 104, 89, 77, 92, 74, 80, 53, 80, 83, 80, 65, 107, 113, 80, 77, 53, 104, 53, 65, 83, 62, 65, 83, 110, 80, 71, 89, 98, 65, 80, 134, 83, 65, 116, 74, 119, 95, 95, 119, 62, 98]"
189,70,20,1,28,0,2023-05-03T23:08:21.5875842+03:00,"[65, 47, 59, 47, 50, 53, 41, 65, 47, 56, 47, 53, 50, 47, 44, 47, 47, 53, 56, 50, 65, 59, 74, 53, 56, 56, 62, 101, 59, 68, 83, 89, 92, 83, 101, 92, 149, 80, 65, 71, 89, 119, 86, 119, 146, 62, 83, 98, 104, 83, 62, 65, 77, 98, 89, 83, 89, 53, 59, 110, 71, 71, 68, 89, 59, 95, 80, 65, 80, 77, 83, 92, 77, 59, 83, 68, 98, 98, 74, 89, 74, 68, 98, 71, 65, 56, 71, 101, 80, 68, 149, 59, 47, 50, 53, 119, 80, 95, 56, 56, 113, 59, 68]"
189,70,20,1,28,0,2023-05-03T23:08:58.6289376+03:00,"[83, 71, 74, 77, 80, 65, 62, 89, 74, 77, 71, 47, 74, 74, 62, 71, 77, 59, 104, 71, 71, 77, 68, 65, 83, 65, 83, 74, 86, 74, 77, 68, 62, 83, 68, 65, 77, 98, 77, 71, 62, 83, 83, 92, 65, 68, 71, 71, 68, 56, 62, 56, 56, 44, 77, 74, 89, 74, 56, 71, 71, 56, 71, 62, 98, 65, 74, 68, 62, 71, 77, 62, 86, 68, 62, 77, 53, 59, 59, 68, 68, 104, 56, 80, 71, 74, 71, 89, 68, 65, 59]"
189,70,20,1,28,0,2023-05-03T23:09:04.5815618+03:00,"[71, 71, 59, 62, 65, 53, 65, 56, 83, 71, 68, 77, 62, 59, 65, 62, 62, 77, 62, 62, 65, 53, 65, 71, 56, 83, 62, 59, 62, 62, 59, 74, 59, 98, 65, 98, 122, 56, 53, 77, 56, 89, 80, 59, 89, 80, 101, 68, 80, 59, 74, 83, 68, 83, 53, 74, 77, 59, 74, 80, 65, 77, 50, 107, 77, 77, 80, 68, 65, 56, 71, 68, 71, 77, 68, 71, 74, 74, 80, 62, 86, 74, 59, 80, 71, 68, 65, 56, 65, 59, 74, 65, 86, 62, 47, 50, 80, 68, 65, 74, 65, 83, 65, 53, 53, 62, 77]"
189,70,20,1,28,0,2023-05-03T23:09:10.1386654+03:00,"[71, 68, 68, 65, 56, 59, 68, 59, 68, 56, 68, 71, 68, 62, 59, 50, 59, 71, 53, 68, 71, 59, 56, 53, 56, 77, 59, 71, 65, 77, 71, 71, 71, 65, 68, 62, 101, 74, 68, 68, 83, 71, 71, 62, 86, 65, 80, 77, 71, 65, 86, 77, 74, 59, 77, 71, 71, 77, 53, 74, 74, 86, 53, 77, 71, 62, 71, 65, 80, 77, 65, 80, 77, 125, 53, 74, 77, 71, 59, 77, 59, 74, 65, 56, 65, 74, 62, 68, 59, 62]"
189,70,20,1,28,0,2023-05-03T23:09:18.1485771+03:00,"[65, 62, 56, 50, 62, 77, 56, 65, 50, 80, 59, 56, 62, 74, 74, 47, 59, 47, 68, 59, 71, 47, 59, 56, 44, 77, 68, 56, 62, 80, 53, 62, 71, 98, 62, 56, 68, 71, 50, 59, 107, 59, 68, 53, 71, 71, 83, 56, 59, 77, 65, 71, 74, 68, 68, 62, 65, 71, 80, 59, 68, 80, 89, 71, 62, 56, 62, 71, 56, 71, 62, 107, 68, 68, 62, 68, 65, 80, 59, 71, 65, 74, 77, 62, 74, 83, 68, 71, 83, 62, 56, 74, 68, 56, 89, 92, 56, 68, 56, 65, 68, 65, 62, 62]"
189,70,20,1,28,0,2023-05-03T23:09:25.2005984+03:00,"[59, 80, 65, 74, 65, 65, 68, 62, 71, 56, 65, 65, 53, 68, 74, 71, 71, 71, 68, 77, 59, 104, 65, 62, 95, 77, 74, 89, 80, 59, 68, 71, 65, 77, 92, 62, 65, 95, 65, 65, 74, 74, 74, 77, 59, 65, 86, 62, 83, 80, 71, 95, 104, 95, 71, 68, 59, 74, 68, 71, 53, 68, 92, 59, 56, 68, 53, 56, 71, 71, 86, 50, 86, 50, 83, 74, 59, 53, 74, 71, 71, 56, 68, 62, 62, 62, 80, 77, 62, 80, 50, 59, 53, 56, 65, 59]"
189,70,20,1,28,0,2023-05-03T23:09:31.6189579+03:00,"[59, 77, 65, 74, 71, 71, 71, 56, 50, 71, 62, 74, 62, 68, 86, 65, 68, 74, 68, 86, 65, 83, 68, 50, 71, 65, 56, 68, 68, 98, 71, 86, 116, 59, 59, 59, 62, 56, 74, 74, 65, 92, 89, 68, 80, 74, 65, 74, 53, 80, 71, 62, 74, 86, 104, 80, 77, 95, 44, 50, 65, 56, 62, 65, 65, 56, 80, 74, 65, 89, 56, 62, 71, 65, 62, 71, 83, 83, 59, 65, 74, 41, 74, 68, 71, 71, 62, 53]"
